datetime,A Bus Voltage,A Current,Feed voltage in,Recirculation voltage in,Feed voltage set
2023-08-15 17:53:25.497010,0.00 V,47.10 mA,0.00,0.00,-2.80
2023-08-15 17:53:31.541331,32.00 V,119.80 mA,0.00,0.00,-2.80
2023-08-15 17:53:37.585668,0.00 V,106.80 mA,0.00,0.00,-2.80
2023-08-15 17:53:43.629707,32.00 V,120.00 mA,0.00,0.00,-2.80
2023-08-15 17:53:49.673930,0.00 V,47.10 mA,0.00,0.00,-2.80
2023-08-15 17:53:55.717979,0.00 V,120.20 mA,0.00,0.00,-2.80
2023-08-15 17:55:05.222412,0.00 V,110.70 mA,0.00,0.00,-2.80
2023-08-15 17:55:11.266328,18.93 V,119.70 mA,0.00,0.00,-2.80
2023-08-15 17:55:23.354291,1.31 V,120.20 mA,0.00,0.00,-2.80
2023-08-15 17:55:29.399049,1.08 V,63.90 mA,0.00,0.00,-2.80
2023-08-15 17:55:35.444188,0.00 V,119.90 mA,0.00,0.00,-2.80
2023-08-15 17:55:41.488246,1.01 V,120.10 mA,0.00,0.00,-2.80
2023-08-15 17:55:47.532430,1.09 V,44.80 mA,0.00,0.00,-2.80
2023-08-15 17:56:17.751444,0.00 V,120.20 mA,0.00,0.00,-2.80
2023-08-15 17:56:23.796524,32.00 V,119.80 mA,0.00,0.00,-2.80
2023-08-15 17:56:29.840597,29.68 V,50.20 mA,0.00,0.00,-2.80
2023-08-15 17:56:35.884597,1.03 V,105.00 mA,0.00,0.00,-2.80
2023-08-15 17:56:41.928837,0.00 V,119.90 mA,0.00,0.00,-2.80
2023-08-15 17:58:00.483812,0.00 V,120.00 mA,0.00,0.00,-2.80
2023-08-15 17:58:06.527754,32.00 V,119.90 mA,0.00,0.00,-2.80
2023-08-15 17:58:12.571495,0.00 V,119.60 mA,0.00,0.00,-2.80
2023-08-15 17:58:18.615768,2.50 V,119.90 mA,0.00,0.00,-2.80
2023-08-15 17:58:24.659985,0.00 V,120.20 mA,0.00,0.00,-2.80
2023-08-15 18:00:13.417538,32.00 V,97.70 mA,0.50,0.20,618.65
2023-08-15 18:00:19.461453,0.00 V,119.90 mA,0.50,0.20,618.65
2023-08-15 18:00:25.505399,32.00 V,117.60 mA,0.50,0.20,618.65
2023-08-15 18:00:31.549265,0.00 V,119.80 mA,0.50,0.20,618.65
2023-08-15 18:00:37.593350,32.00 V,104.00 mA,0.50,0.20,618.65
2023-08-15 18:01:14.854581,0.96 V,119.80 mA,0.50,0.20,618.65
2023-08-15 18:01:20.898596,0.00 V,70.60 mA,0.50,0.20,618.65
2023-08-15 18:01:26.941999,0.91 V,103.70 mA,0.50,0.20,618.65
2023-08-15 18:01:32.985185,1.09 V,121.00 mA,0.50,0.20,618.65
2023-08-15 18:01:39.028624,0.00 V,120.10 mA,0.50,0.20,618.65
2023-08-15 18:02:44.483915,1.13 V,119.80 mA,0.50,0.20,618.65
2023-08-15 18:02:50.528322,1.10 V,120.20 mA,0.50,0.20,618.65
2023-08-15 18:02:56.572471,1.09 V,119.70 mA,0.50,0.20,618.65
2023-08-15 18:03:02.616266,1.11 V,120.20 mA,0.50,0.20,618.65
2023-08-15 18:03:08.660168,32.00 V,120.20 mA,0.50,0.20,618.65
2023-08-15 18:04:51.387077,2.31 V,119.90 mA,0.50,0.20,618.65
2023-08-15 18:04:57.431066,1.06 V,51.80 mA,0.50,0.20,618.65
2023-08-15 18:05:03.474783,0.00 V,120.30 mA,0.50,0.20,618.65
2023-08-15 18:05:09.518316,1.05 V,56.30 mA,0.50,0.20,618.65
2023-08-15 18:05:15.561772,0.00 V,120.40 mA,0.50,0.20,618.65
2023-08-15 18:06:02.892374,0.50 V,112.50 mA,0.50,0.20,618.65
2023-08-15 18:06:08.936279,0.00 V,113.60 mA,0.50,0.20,618.65
2023-08-15 18:06:14.980194,0.00 V,100.40 mA,0.50,0.20,618.65
2023-08-15 18:06:21.025055,0.00 V,79.10 mA,0.50,0.20,618.65
2023-08-15 18:06:27.069770,0.00 V,46.50 mA,0.50,0.20,618.65
2023-08-15 18:08:47.050053,32.00 V,120.70 mA,0.50,0.20,618.65
2023-08-15 18:08:53.093328,29.63 V,120.10 mA,0.50,0.20,618.65
2023-08-15 18:08:59.136930,32.00 V,120.30 mA,0.50,0.20,618.65
2023-08-15 18:09:05.181177,32.00 V,119.80 mA,0.50,0.20,618.65
2023-08-15 18:09:11.225479,32.00 V,120.80 mA,0.50,0.20,618.65
2023-08-15 18:10:54.953602,1.22 V,120.60 mA,0.50,0.20,618.65
2023-08-15 18:11:00.997887,1.12 V,119.60 mA,0.50,0.20,618.65
2023-08-15 18:11:07.041785,1.11 V,120.00 mA,0.50,0.20,618.65
2023-08-15 18:11:13.085652,1.04 V,119.90 mA,0.50,0.20,618.65
2023-08-15 18:11:19.129137,0.00 V,120.10 mA,0.50,0.20,618.65
2023-08-15 18:12:24.590288,32.00 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:12:30.633802,0.98 V,120.00 mA,0.00,0.20,-2.80
2023-08-15 18:12:36.677649,0.00 V,93.70 mA,0.00,0.20,-2.80
2023-08-15 18:12:42.721171,0.00 V,46.30 mA,0.00,0.20,-2.80
2023-08-15 18:12:48.765609,0.00 V,106.60 mA,0.00,0.20,-2.80
2023-08-15 18:13:32.069758,0.00 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:13:38.113509,0.00 V,98.30 mA,0.00,0.20,-2.80
2023-08-15 18:13:44.157694,0.00 V,46.90 mA,0.00,0.20,-2.80
